event_id,source_positive,source_type,background_type,background_file,snr_db,score,raw_logspec_mean,raw_logspec_std,normalized_mean,normalized_std,positive_rms,background_rms,mixture_rms,peak_amplitude,common_gain
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,ambient,random_segment,15,0.98828125,-1.4819595,1.1484448,-7.785096e-09,0.9999992,0.033389863,0.05856639,0.036808807,0.10901941,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,ambient,random_segment,10,0.98828125,-1.4730808,1.1612958,-3.1140384e-08,0.99999917,0.033389863,0.05856639,0.039880738,0.11693683,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,ambient,random_segment,5,0.98828125,-1.4564184,1.1913692,3.892548e-08,0.9999992,0.033389863,0.05856639,0.0459882,0.13102484,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,ambient,random_segment,0,0.98828125,-1.4255735,1.2323204,-7.785096e-08,0.99999917,0.033389863,0.05856639,0.058147717,0.15609236,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,ambient,random_segment,-5,0.98046875,-1.3632866,1.2715509,-3.892548e-09,0.9999992,0.033389863,0.05856639,0.08177987,0.20066944,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,speech,random_segment,30,0.98828125,-1.4773142,1.1248254,1.362392e-07,0.99999917,0.033389863,0.044910893,0.033414144,0.10241706,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,speech,random_segment,20,0.984375,-1.4306105,1.1127787,6.228077e-08,0.99999917,0.033389863,0.044910893,0.033580285,0.10402385,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,speech,random_segment,15,0.984375,-1.3720462,1.1173965,5.4495676e-08,0.99999917,0.033389863,0.044910893,0.033955712,0.10705578,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,speech,random_segment,10,0.984375,-1.2669458,1.1256986,4.281803e-08,0.99999905,0.033389863,0.044910893,0.035091914,0.112447396,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,speech,random_segment,5,0.984375,-1.1137092,1.1661102,6.4227045e-08,0.99999917,0.033389863,0.044910893,0.0384247,0.15064988,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,speech,random_segment,0,0.97265625,-0.91006595,1.2288209,-3.5032933e-08,0.9999992,0.033389863,0.044910893,0.047389895,0.23647472,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,speech,random_segment,-5,0.9375,-0.6561948,1.3222133,4.281803e-08,0.99999934,0.033389863,0.044910893,0.068329856,0.3890953,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,streaming_repro,random_ambient,repro,0.95703125,-1.2547545,1.3214686,8.1743515e-08,0.9999992,0.033389863,0,0.13951732,0.30233765,1.0
8,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0157.wav,REAL,none,none,clean,0.99609375,-1.6592413,1.2226783,3.1140384e-08,0.9999992,0.027934434,0,0.027934434,0.10897827,1.0
8,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0157.wav,REAL,ambient,random_segment,30,0.99609375,-1.6570913,1.2185764,5.8388224e-08,0.9999992,0.027934434,0.09757738,0.027972111,0.10929102,1.0
